rt,key_press,correct,coherent_movement_direction,coherent_orientation,task_type,task_transition,congruency,id,run
753,j,FALSE,180,180,or,repetition,congruent,1,5
784,f,FALSE,0,180,mov,switch,incongruent,1,5
797,j,TRUE,0,0,mov,repetition,congruent,1,5
607,f,TRUE,180,180,or,switch,congruent,1,5
494,j,TRUE,0,0,or,repetition,congruent,1,5
605,f,FALSE,0,180,mov,switch,incongruent,1,5
626,f,TRUE,180,180,or,switch,congruent,1,5
895,f,TRUE,180,180,mov,switch,congruent,1,5
774,f,TRUE,180,0,mov,repetition,incongruent,1,5
619,j,FALSE,0,180,or,switch,incongruent,1,5
735,j,TRUE,0,0,or,repetition,congruent,1,5
631,f,TRUE,180,180,mov,switch,congruent,1,5
663,f,TRUE,180,180,or,switch,congruent,1,5
636,j,TRUE,0,0,or,repetition,congruent,1,5
636,f,TRUE,180,180,or,repetition,congruent,1,5
855,f,TRUE,180,180,mov,switch,congruent,1,5
752,j,TRUE,0,0,mov,repetition,congruent,1,5
788,f,FALSE,0,180,mov,repetition,incongruent,1,5
695,j,TRUE,180,0,or,switch,incongruent,1,5
676,j,FALSE,0,180,or,repetition,incongruent,1,5
827,j,TRUE,0,0,mov,switch,congruent,1,5
913,j,TRUE,0,0,mov,null,congruent,1,6
648,f,FALSE,180,0,or,switch,incongruent,1,6
748,f,TRUE,180,180,mov,switch,congruent,1,6
762,j,TRUE,0,180,mov,repetition,incongruent,1,6
684,f,TRUE,0,180,or,switch,incongruent,1,6
572,j,FALSE,0,180,or,repetition,incongruent,1,6
730,f,TRUE,180,0,mov,switch,incongruent,1,6
805,f,TRUE,180,180,or,switch,congruent,1,6
541,j,TRUE,0,0,or,repetition,congruent,1,6
683,j,FALSE,180,0,mov,switch,incongruent,1,6
729,j,TRUE,0,0,or,switch,congruent,1,6
1160,f,FALSE,0,180,mov,switch,incongruent,1,6
652,f,TRUE,180,180,mov,repetition,congruent,1,6
582,f,TRUE,180,180,or,switch,congruent,1,6
593,j,TRUE,0,180,mov,switch,incongruent,1,6
849,j,TRUE,0,180,mov,repetition,incongruent,1,6
